X.1,X,file,dataset,genotype,plant,px_cm,base_x,base_y,tip_x,tip_y,L_x,L_y,R_x,R_y,M_x,M_y,PC1,PC2,width,length,area,solidity,asymmetry,circ,ar,number_seeds,see_weight_mg,lateral_shoots,left_angle,right_angle,paper_genotype,seeds_per_fruit,seed_weight_fruit
169,169,6C_8_20_set4_rep3_fruit4.jpg,20,Magnolia6,ar,300,482,170,59.5,149.5,40,270,52.5,39.5,192.5,144.5,0.060963864,-0.066225395,0.898563339,1.511221093900945,0.6954805506913786,0.8730837008679588,0.006153617,0.4860616383249747,0.5842385310006237,533,40,7,37.29973762347778,39.022860434944484,MI_30,17.766666666666666,1.3333333333333333
170,170,6C_8_20_set4_rep3_fruit5.jpg,20,Magnolia6,ar,300,483,184,45.5,154.5,43,277,70.5,42.5,179.5,166.5,0.079813496,-0.0410595,0.9516014827141726,1.501233050169273,0.7077357954158892,0.8755084550014365,0.005217528,0.4992797591959775,0.6303079310505237,533,40,7,44.10830889247812,43.56617153918786,MI_30,17.766666666666666,1.3333333333333333
171,171,6C_8_20_set4_rep3_fruit6.jpg,20,Magnolia6,ar,300,480,169,41.5,161.5,45,297,51.5,45.5,191.5,167.5,0.026720818,-0.002101351,0.9935391197851564,1.516750204927087,0.8626075336668748,0.934844663644648,0.009004417,0.5799757537486586,0.6546395971894766,533,40,7,43.765974980939845,38.77921441163599,MI_30,17.766666666666666,1.3333333333333333
172,172,6C_8_20_set4_rep3_fruit7.jpg,20,Magnolia6,ar,300,483,149,55.5,157.5,45,272,44.5,42.5,194.5,154.5,0.1087695061358278,-0.064035784,0.9008310394706605,1.516922514960376,0.6863474542002024,0.8497037066785007,0.0101499862851764,0.4758592565629903,0.5830592542148979,533,40,7,36.92928092205486,37.98387855572006,MI_30,17.766666666666666,1.3333333333333333
173,173,6C_8_20_set4_rep3_fruit8.jpg,20,Magnolia6,ar,300,484,157,66.5,153.5,41,269,52.5,32.5,220.5,153.5,0.0537039574172923,-0.03296092,0.8971642563132366,1.524850712756025,0.7670024097145713,0.876481669,0.005175651,0.5390796625580124,0.5858489785549048,533,40,7,32.759418718036414,35.76287060016325,MI_30,17.766666666666666,1.3333333333333333
174,174,6C_8_20_set4_rep3_fruit9.jpg,20,Magnolia6,ar,300,484,150,61.5,137.5,39,246,69.5,32.5,191.5,146.5,0.1395071531398023,-0.049565902,0.8183819968292828,1.5029369693182832,0.6025231755827889,0.8076517636008355,0.0143206722817636,0.4525859716835798,0.5399063587713498,533,40,7,37.08311294658023,39.098201778627235,MI_30,17.766666666666666,1.3333333333333333
175,175,7.99_15_16_set5_rep2_fruit1.jpg,16,7.99,az,300,479,162,39.5,153.5,44,282,45.5,37.5,183.5,149.5,-0.155962555,-0.032712444,1.1412616738904442,1.3550714238690404,0.8563646341628299,0.9025694493659456,0.0243218226579574,0.5278276929452931,0.8158788742286046,540,28.7,9,41.93466139036462,40.653724171713066,NY_56,18,0.9566666666666667
176,176,7.99_15_16_set5_rep2_fruit10.jpg,16,7.99,az,300,487,163,47.5,139.5,37,258,70.5,30.5,161.5,145.5,-0.137293237,0.094772424,1.1435785528673594,1.3807238042637744,0.8803268312925283,0.8913992500408271,0.2025751218284558,0.5211246591742097,0.8222090068572737,540,28.7,9,45.11421070490163,48.632490706091076,NY_56,18,0.9566666666666667
177,177,7.99_15_16_set5_rep2_fruit2.jpg,16,7.99,az,300,484,152,36.5,138.5,40,254,47.5,35.5,163.5,136.5,-0.107592642,0.0790876,1.1353578281133383,1.4297927675321465,0.8631118854416009,0.8860874930137876,0.164168163420029,0.5131361787423366,0.7993309097793878,540,28.7,9,42.671622502875366,41.94797344600906,NY_56,18,0.9566666666666667
178,178,7.99_15_16_set5_rep2_fruit3.jpg,16,7.99,az,300,475,165,37.5,155.5,46,295,51.5,36.5,193.5,158.5,-0.127521441,0.075432165,1.1494942702483957,1.4235599852906122,0.9021210931823944,0.9018706665769124,0.1556182917958723,0.5220426622146359,0.7996170104845826,540,28.7,9,43.883612137858115,39.565979901605104,NY_56,18,0.9566666666666667
179,179,7.99_15_16_set5_rep2_fruit4.jpg,16,7.99,az,300,483,146,33.5,131.5,37,238,51.5,30.5,155.5,132.5,-0.060071088,0.097841053,1.0620420960237091,1.5252686239489106,0.9007106270308824,0.9030638508618848,0.1915825596249618,0.5139215461944573,0.6909467197264206,540,28.7,9,42.14815125634362,43.974120753229684,NY_56,18,0.9566666666666667
180,180,7.99_15_16_set5_rep2_fruit5.jpg,16,7.99,az,300,480,130,33.5,124.5,32,229,55.5,24.5,160.5,123.5,-0.122387448,0.1247413170841784,1.1362376645683687,1.3758578030754696,0.8381711603033004,0.8944115476537847,0.2478670895966007,0.4933479125839787,0.8221817076186427,540,28.7,9,38.93525642368962,43.76645422889099,NY_56,18,0.9566666666666667
181,181,7.99_15_16_set5_rep2_fruit6.jpg,16,7.99,az,300,482,219,35.5,152.5,35,280,63.5,26.5,186.5,163.5,-0.142690046,-0.015098952,1.1460183701190327,1.3513972904354306,0.8721361206597571,0.8957146340081803,0.015977741,0.5521849803171082,0.8309195088013318,540,28.7,9,41.72595737393478,43.91567593897946,NY_56,18,0.9566666666666667
182,182,7.99_15_16_set5_rep2_fruit7.jpg,16,7.99,az,300,478,186,36.5,141.5,33,250,65.5,26.5,179.5,149.5,-0.061277265,0.074521772,1.068752392082061,1.5598192048827384,0.932593907,0.8985580402303989,0.1453936343347249,0.5089910930661431,0.685299757,540,28.7,9,37.65240901250982,43.97272353128792,NY_56,18,0.9566666666666667
183,183,7.99_15_16_set5_rep2_fruit8.jpg,16,7.99,az,300,480,161,40.5,132.5,36,240,64.5,31.5,156.5,142.5,-0.164938077,0.102356062640536,1.147778470683881,1.3526264520583635,0.8361307724903249,0.885911732,0.2347846962610059,0.5181819375512983,0.8441898968091733,540,28.7,9,43.90442304974756,45.41997165265035,NY_56,18,0.9566666666666667
184,184,7.99_15_16_set5_rep2_fruit9.jpg,16,7.99,az,300,485,147,31.5,137.5,41,253,38.5,24.5,161.5,137.5,-0.092191227,0.096703249,1.1314059654305386,1.440077636,0.9029258014996486,0.8927746747293948,0.1774864384833285,0.516596591,0.7890454845130511,540,28.7,9,43.7862879422462,42.57366416839764,NY_56,18,0.9566666666666667
185,185,7.99_15_16_set5_rep3_fruit1.jpg,16,7.99,ba,300,481,147,41.5,119.5,32,220,38.5,25.5,146.5,112.5,-0.135552432,0.1072252545871608,1.1537825262684225,1.392941937,0.8895205478059793,0.9084079805132476,0.1818911690391166,0.5670592556920955,0.8265904785136473,543,224.2,6,39.37989986810841,42.667449174643686,NY_56,18.1,7.473333333333333
186,186,7.99_15_16_set5_rep3_fruit10.jpg,16,7.99,ba,300,477,123,45.5,155.5,62,279,39.5,30.5,215.5,134.5,-0.124326726,0.051474914,1.1360779352950263,1.430634520531154,0.9097142998666854,0.9127233185055342,0.1134297473310961,0.56644973545547606,0.7936991464517495,543,224.2,6,36.22807720445752,37.621266046218416,NY_56,18.1,7.473333333333333
187,187,7.99_15_16_set5_rep3_fruit11.jpg,16,7.99,ba,300,483,148,38.5,135.5,44,264,44.5,29.5,155.5,127.5,0.079602505,-0.111722315,0.8484474143595917,1.5036416956158063,0.5142361453762749,0.7402128724501632,0.007696193,0.340492297,0.5586068755276276,543,224.2,6,46.844766448594726,45.35230499124544,NY_56,18.1,7.473333333333333
